,Epoch,Loss,Validation Loss,F1
0,0,0.6550100965572231,0.6463439651521259,
1,1,0.6413882548834977,0.6344453260781645,
2,2,0.6184455617285666,0.6132140196003324,
3,3,0.5695755570886565,0.566692637103247,
4,4,0.47283319516800115,0.47601059708254656,0.7602339181286549
5,5,0.33708572134223874,0.3443338326547347,0.9090909090909092
6,6,0.2292621140796991,0.23746186305801856,0.9261083743842364
7,7,0.16620145535083902,0.17621154653047172,0.9271844660194173
8,8,0.1292175009935563,0.14377113676891431,0.9546539379474939
9,9,0.10741723426449161,0.127252434181643,0.966183574879227
10,10,0.09337366850935702,0.11548418307736269,0.9711538461538463
11,11,0.08444609700532749,0.10958533453955614,0.9760765550239234
12,12,0.07771570566415342,0.10581877319229477,0.9785202863961814
13,13,0.0727057824271587,0.10423940635541842,0.9785202863961814
14,14,0.06897362594935054,0.10287830897829507,0.9785202863961814
15,15,0.06617929784590745,0.09848049725813027,0.9785202863961814
16,16,0.06413829927395664,0.09829475084364224,0.976303317535545
17,17,0.061661655691635765,0.09977193282668961,0.9785202863961814
18,18,0.05998952993917682,0.09851421968949779,0.9786223277909739
19,19,0.0583380211099055,0.0980478495553999,0.9786223277909739
20,20,0.05715198756827188,0.0975147881977238,0.9739952718676123
21,21,0.055759743050724474,0.09904673110426984,0.976303317535545
22,22,0.054620145885720936,0.1003924929251004,0.976303317535545
23,23,0.05363065567712855,0.1011586044676301,0.976303317535545
24,24,0.05267750375703894,0.10099666061291902,0.976303317535545
25,25,0.05183249206236404,0.1014350671631648,0.976303317535545
26,26,0.05101661462858649,0.10163918644816929,0.976303317535545
27,27,0.05024039319122965,0.10173939136838399,0.976303317535545
28,28,0.04962263546415555,0.10157629727611668,0.976303317535545
29,29,0.04899359125349813,0.10217951069272926,0.976303317535545
30,30,0.048646955394044136,0.10645216713009586,0.9786223277909739
31,31,0.048180112375884446,0.10785755764692566,0.9786223277909739
32,32,0.04749511154135991,0.10628948828919198,0.9786223277909739
33,33,0.04692946465590581,0.10431402229360955,0.976303317535545
34,34,0.04657674689926399,0.10324467449436031,0.9787234042553191
35,35,0.04607370351711363,0.10693245471213275,0.9786223277909739
36,36,0.04562127385696131,0.10692370042670127,0.9786223277909739
37,37,0.04514138534435013,0.10634150763973717,0.9787234042553191
38,38,0.044806513169635236,0.107649753888893,0.9786223277909739
39,39,0.044414791362938105,0.1079626443287285,0.981042654028436
40,40,0.044100197248026274,0.1064634666185517,0.9787234042553191
41,41,0.04369579544746794,0.10772334294007448,0.9787234042553191
42,42,0.043472439453715095,0.10667376176447255,0.9787234042553191
43,43,0.04377429517558496,0.10800263041765956,0.9787234042553191
44,44,0.04311142271028218,0.10947713086590019,0.9787234042553191
45,45,0.04265393113404858,0.11170154582717182,0.981042654028436
46,46,0.042278290918882744,0.11103413520473458,0.981042654028436
47,47,0.041958450556512976,0.11046575618066153,0.981042654028436
48,48,0.041656839003563075,0.11018427304457527,0.981042654028436
49,49,0.041529730707033356,0.11404577635511239,0.981042654028436
50,50,0.04117187934471174,0.11419882725694251,0.9833729216152018
51,51,0.04088558188302825,0.11029632021638298,0.981042654028436
52,52,0.04083183348055162,0.11016876875748191,0.981042654028436
53,53,0.04050910648380332,0.11268648045372594,0.9833729216152018
54,54,0.040117197911126626,0.11043960945528716,0.981042654028436
55,55,0.04007215265126702,0.114512338980287,0.9833729216152018
56,56,0.039619245082405795,0.11351698553042111,0.981042654028436
57,57,0.03946093829877536,0.11226117694390762,0.981042654028436
58,58,0.03910558434909393,0.11359824873709093,0.981042654028436
59,59,0.038864558055013036,0.11533789320543134,0.981042654028436
60,60,0.03861977064405814,0.1161383630865306,0.981042654028436
61,61,0.038442512810888285,0.11622270052685334,0.981042654028436
